126:127C,127N:128N,127N:127C,126:128N,126:128C,127N:129C,127N:128C,126:129N,128C:129C,129N:130N,129N:129C,128C:130N,accession_number,numPepsUnique,accession_numbers,entry_name,FBgn,flybase,plasma membrane,membrane,cytosol,nucleus,mitochondria
0.2255,0.335,0.2505,0.171,0.122,0.415,0.292,0.0955,0.155,0.236,0.283,0.143,Q9VE75,5,Q9VE75,"Vha100-2, isoform A",FBgn0028670,Vha100-2,1,1,0,0,0
0.0215,0.108,-0.0015,0.034,-0.175,0.024,-0.285,-0.3935,0.348,0.029,0.283,-0.015,Q9W415,7,Q9W415|F6J3W1|F6J3W3|F6J3W4|F6J3W2,tRNA (guanine-N(7)-)-methyltransferase subunit wuho,FBgn0029857,wuho,0,0,0,1,0
-0.1555,0.06,0.0335,-0.086,0.024,0.346,0.051,-0.0215,0.24,-0.253,0.283,-0.039,Q9VTC1,12,Q9VTC1,CG6418,FBgn0036104,CG6418,0,0,1,0,0
-0.3485,0.024,-0.2455,-0.118,-0.085,0.089,0.05,-0.3335,-0.006,0.354,0.283,0.134,P25159,2,P25159|E1JGK6|P25159-2,Maternal effect protein staufen,FBgn0003520,stau,1,1,1,0,0
0.4305,0.495,0.3035,0.485,0.12,0.378,0.087,0.0655,0.099,-0.109,0.282,0.024,Q9VPJ0,7,Q9VPJ0,CG11377,FBgn0031217,CG11377,0,0,0,0,0
0.3835,0.278,0.2905,0.394,0.087,0.365,0.052,0.1225,0.225,0.094,0.282,0.06,E6EK18,34,E6EK18|Q9V4C7|E6EK15|E6EK17|Q59DQ0|Q59DP9|Q59DP8|Q1WWE3|Q6IIW9,"Plasma membrane calcium ATPase, isoform R",FBgn0259214,PMCA,1,1,0,0,0
0.3485,0.237,0.2725,0.175,0.111,0.338,0.118,0.1625,0.129,0.181,0.282,0.038,Q9W0S9,35,Q9W0S9|Q8MRM9,Disco-interacting protein 2,FBgn0024806,DIP2,0,0,0,1,0
-0.5225,0.086,-0.5195,0.042,0.313,0.352,0.275,-0.0885,0.052,-0.039,0.282,-0.498,A8JUR1,4,A8JUR1|Q9VZ52,"CG11203, isoform B",FBgn0264502,CG43901,0,0,0,0,0
0.5845,0.529,0.5865,0.584,0.25,0.542,0.319,0.2625,0.175,0.281,0.281,0.209,Q9VW54,20,Q9VW54,26S proteasome regulatory complex subunit p97,FBgn0028695,Rpn1,0,0,0,1,0
0.1375,0.036,0.2285,-0.021,-0.207,0.314,-0.037,-0.0475,0.461,-0.039,0.281,0.163,Q9VLN6,7,Q9VLN6|Q8T9B4|B3DN70|Q7KTC1|Q7KTC3|Q7KTC8|Q7KTB9|Q7KTB8|Q7KTC2|Q7KTD0|Q7KTC0|Q7KTB7|Q7KTC6|Q7KTC5|Q7KTC9|Q9I7N0|Q8T9C5|Q9VK56|Q7KTC4|Q7KTC7|Q9VGM1|P91660|Q9VDT3|Q9VJ21|Q8MT77|Q7KT22|Q7YU06|Q9VIG9|Q960T8|F2FB92,CG7627,FBgn0032026,CG7627,1,1,0,0,0
0.4645,0.2,0.3535,0.301,0.075,0.333,-0.026,0.1935,0.279,0.076,0.28,0.179,Q8IRH1,45,Q8IRH1|E8NH92|Q8IRH0|Q9W0E4|C8VUZ1|Q9GPG3|Q6AWR8,FI19310p1,FBgn0261243,Psa,0,0,1,0,0
0.2395,0.5,0.3465,0.306,0.191,0.273,0.239,-0.0155,0.56,0.034,0.28,0.041,Q86B91,9,Q86B91|Q86B91-4|Q86B91-2|Q86B91-3,Protein tincar,FBgn0261649,tinc,0,1,0,0,0
0.4765,0.239,0.3765,0.327,0.141,0.396,0.089,0.0575,0.215,0.35,0.278,0.291,Q9VUR0,4,Q9VUR0,Probable Ufm1-specific protease 2,FBgn0036512,CG16979,0,0,0,0,0
-0.0585,0.168,0.0865,-0.016,-0.161,0.301,-0.027,-0.2775,0.241,0.329,0.278,0.197,Q9VFI9,3,Q9VFI9,"cGMP-specific 3',5'-cyclic phosphodiesterase",FBgn0038237,Pde6,1,1,1,0,0
0.3735,0.188,0.5425,0.011,0.216,0.281,0.295,-0.0995,0.28,0.27,0.277,0.175,Q9U5L1,7,Q9U5L1,Signal recognition particle receptor subunit alpha homolog,FBgn0010391,Gtp-bp,0,1,0,0,0
-0.5465,-0.192,-0.5465,-0.444,-0.678,0.194,-0.714,-0.1385,-0.024,-0.075,0.276,-0.348,Q07DP5,3,Q07DP5|Q8T052|Q9XZD9|Q7KA83|F6JBM9|F6JBM5|F6JBN0|F6J4J3|A9YJX8|B4YWI1,"TATA box binding protein-related factor 2, isoform E",FBgn0261793,Trf2,0,0,0,1,0
0.6205,0.138,0.3825,0.338,0.345,0.193,0.137,0.1205,0.011,0.145,0.275,-0.049,Q9VBZ8,2,Q9VBZ8|Q8MS26,CG11781,FBgn0039259,CG11781,0,1,0,0,0
0.2775,0.166,0.2975,0.052,0.102,0.402,0.154,-0.0535,0.253,0.311,0.275,0.179,B5RJE5,9,B5RJE5|Q8IGI8|Q8IMJ0|Q0KHY8,FI09225p (Fragment),FBgn0051030,CG31030,0,1,0,0,0
0.0635,-0.143,0.2315,-0.064,-0.112,0.156,-0.035,-0.1815,0.288,0.244,0.274,0.293,Q9VCH8,3,Q9VCH8|Q9BI21,LD23303p,FBgn0039117,tst,0,0,0,1,0
0.1405,0.406,0.1435,0.288,-0.041,0.275,0.05,-0.1095,0.061,0.035,0.273,-0.098,Q9VPR5,7,Q9VPR5|Q4V5E9,CG2807,FBgn0031266,Sf3b1,0,0,0,0,0
0.0005,-0.044,0.6325,-0.713,-0.481,0.599,0.181,-0.3425,0.372,0.083,0.273,0.252,Q9VIJ9,2,Q9VIJ9,LD10773p,FBgn0032882,Ns4,0,0,0,0,0
-0.0785,0.048,0.0775,-0.139,-0.159,0.451,-0.114,-0.1675,0.498,-0.157,0.272,0.095,Q94524,2,Q94524,Dynein light chain Tctex-type,FBgn0024432,Dlc90F,0,0,1,0,1
0.7845,-0.133,0.5315,-0.069,0.41,0.132,0.311,0.1055,0.024,-0.023,0.271,-0.218,Q9VSR3,2,Q9VSR3|Q9VSR3-2|C8VV27,Probable RNA-binding protein orb2,FBgn0264307,orb2,0,1,1,1,0
0.1925,0.284,0.2575,0.194,-0.177,0.24,-0.243,-0.2265,0.383,-0.032,0.271,-0.047,Q7JR72,3,Q7JR72|Q95T77|C0PTW4|Q0E9A2,"CG8776, isoform A",FBgn0261673,nemy,0,1,0,0,0
0.1075,0.381,0.1025,0.313,0.148,0.265,0.149,0.0125,0.08,0.354,0.271,0.265,P22769,8,P22769|Q24178,Proteasome subunit alpha type-7-1,FBgn0004066,Prosalpha4,0,0,1,1,0
0.3445,0.341,0.4145,0.278,0.107,0.409,0.179,0.1015,0.177,0.163,0.27,0.199,O77410,21,O77410|Q8MR88,Eukaryotic translation initiation factor 3 subunit E,FBgn0025582,eIF3e,0,1,1,1,0
0.3985,0.357,0.4415,0.364,0.3,0.314,0.286,0.0305,0.218,0.242,0.269,0.002,H5V8B2,3,H5V8B2|Q9W464|Q961V1,FI19410p1 (Fragment),FBgn0029818,GAA1,0,1,0,0,0
0.3615,0.466,0.3445,0.335,0.091,0.325,0.146,0.0205,0.235,0.344,0.268,0.351,Q27268,18,Q27268|H1UUC9,ATP-dependent RNA helicase WM6,FBgn0014189,Hel25E,0,0,1,1,0
1.0005,0.313,0.5315,0.672,0.68,0.31,0.26,0.5035,-0.032,0.373,0.267,0.193,Q26365-2,27,Q26365-2|Q26365|O62526,"Isoform A of ADP,ATP carrier protein",FBgn0003360,sesB,0,1,0,0,1
0.6255,0.369,0.4935,0.463,0.03,0.367,0.017,0.1825,0.037,-0.011,0.267,0.171,Q59E18,5,Q59E18|Q9VR40|Q86P57,"CG31660, isoform C",FBgn0051660,smog,1,1,0,0,0
-0.3765,0.241,-0.1185,0.041,-0.553,0.284,-0.271,-0.3685,0.509,0.055,0.267,0.223,Q7K3Z2,2,Q7K3Z2,GH01773p,FBgn0033132,Tsp42Ej,1,1,0,0,0
-0.6285,-1.114,-0.3435,-1.437,0.006,-0.237,0.322,-0.8245,-0.604,0.357,0.267,-0.443,Q9VEM4,2,Q9VEM4,CG5265,FBgn0038486,CG5265,0,1,0,0,1
0.4805,0.38,0.4215,0.42,0.307,0.29,0.203,0.0765,0.382,0.102,0.266,0.016,Q9VH26,3,Q9VH26|Q8MS01,CG3940,FBgn0037788,CG3940,0,0,0,0,0
0.0895,0.113,0.2845,-0.033,-0.05,0.435,0.373,0.0925,0.298,0.114,0.266,0.122,Q8MSQ2,7,Q8MSQ2|A1ZAP1,SD21944p,FBgn0034184,CG9646,0,0,0,0,0
0.6925,0.354,0.5775,0.431,0.285,0.355,0.147,0.1695,0.091,0.223,0.265,0.178,Q9VMV6,2,Q9VMV6,SelT-like protein,FBgn0031670,SelT,0,0,0,0,0
0.4315,0.133,0.3755,0.188,0.207,0.356,0.149,0.1165,0.116,-0.112,0.264,-0.149,Q9VAJ9,5,Q9VAJ9,CG1907,FBgn0039674,CG1907,0,1,0,0,1
0.3915,0.719,0.2085,0.734,-0.05,0.134,-0.128,0.0745,0.203,0.321,0.264,0.231,Q7PLG1,5,Q7PLG1|Q6AWH1,"CG40178, isoform A",FBgn0058178,CG40178,0,1,0,0,0
0.0195,-0.112,0.0785,-0.209,-0.105,-0.061,0.004,0.1085,0.161,0.264,0.264,0.216,Q9W543,4,Q9W543|Q2XXU2|O46092,CG17766,FBgn0023510,Rbcn-3B,0,0,1,0,0
0.7435,0.372,0.7345,0.144,0.212,0.299,0.204,0.0565,-0.05,0.213,0.263,0.049,Q9VNX0,6,Q9VNX0|Q8MZ59,CG14562,FBgn0037142,CG14562,0,0,0,0,0
-0.1545,-0.36,-0.1155,-0.572,-0.367,0.197,-0.295,-0.2555,0.429,0.101,0.263,0.377,Q9VJX8,3,Q9VJX8|Q8SYI0,CG9267,FBgn0032524,Hacd2,0,1,0,0,0
0.2165,0.026,0.1785,0.075,-0.081,0.194,-0.158,-0.0495,0.264,0.058,0.262,0.219,Q95TL8,2,Q95TL8|Q9VXI3,"CG9911, isoform A",FBgn0030734,CG9911,0,0,0,0,0
0.1855,0.282,0.1185,0.196,-0.142,0.25,-0.035,-0.0315,0.292,0.268,0.262,0.306,P25162,3,P25162|P09478|P17644|P25162-2,Acetylcholine receptor subunit beta-like 2,FBgn0004118,nAChRbeta2,1,1,0,0,0
-0.0815,0.335,0.1825,0.111,-0.173,0.395,-0.001,-0.0885,0.243,0.022,0.262,0.148,Q8SXU3,3,Q8SXU3,CG8207,FBgn0034035,CG8207,0,0,0,0,0
0.5325,0.406,0.8235,0.078,0.056,0.415,0.378,-0.1725,0.058,0.553,0.261,0.306,O76896,2,O76896,"CG4293, isoform A",FBgn0024983,CG4293,0,1,0,0,0
0.0795,0.051,0.1055,-0.074,-0.101,0.388,0.207,-0.0175,0.128,-0.17,0.261,-0.329,Q9VEA2,3,Q9VEA2,CG7146,FBgn0038593,Vps39,0,1,0,0,0
0.3925,0.46,0.4095,0.464,0.129,0.346,0.198,0.1285,0.136,0.42,0.26,0.278,P46461,28,P46461|P54351|F6J9Y7|A9YH29|Q5BI25|Q7JY00|Q7JRF1|Q86P32,Vesicle-fusing ATPase 1,FBgn0000346,comt,0,1,1,0,0
0.1145,0.092,-0.0265,0.142,-0.181,0.278,-0.064,-0.1755,0.162,0.153,0.26,0.162,Q8MPP1,8,Q8MPP1|Q9W1Q8|Q494L6|Q0E8X6,EIF2B-delta protein,FBgn0034858,eIF2Bdelta,0,0,0,0,0
0.5005,0.411,0.5745,0.445,0.232,0.316,0.229,0.1095,0.131,0.269,0.257,0.044,Q5U0V7,22,Q5U0V7|Q8MR94|Q9W0I6,GH06496p,FBgn0034691,Synj,1,1,0,0,0
0.4605,0.131,0.2375,0.405,0.179,0.224,0.049,0.1065,0.187,0.089,0.257,0.049,Q9VJ75,9,Q9VJ75,CG10413,FBgn0032689,CG10413,0,1,0,0,0
0.0405,0.206,-0.1155,0.303,0.185,0.448,0.119,0.0305,0.052,0.648,0.257,0.275,Q5U0Y0,10,Q5U0Y0|O77025|O17142|A1Z927|O17143|A1Z928|J7KED4|J7KB13|J7KHF5|J7KEE9|J7K9E8|Q960C3,LD13852p,FBgn0022764,Sin3A,0,0,0,1,0
-0.6535,-0.161,-0.0955,-0.757,-0.673,-0.048,-0.084,-0.8805,0.047,0.147,0.255,0.086,Q9VEB7,2,Q9VEB7,AT04491p,FBgn0038581,CG14314,0,0,0,0,0
0.8435,0.573,0.7455,0.415,0.502,0.533,0.547,0.1875,-0.025,0.408,0.254,0.178,Q9W486,6,Q9W486|F3YD98,CG32758,FBgn0052758,CG32758,1,1,0,0,0
0.6175,0.457,0.5235,0.513,0.293,0.354,0.23,0.1345,0.323,0.13,0.254,0.113,Q95ST2,2,Q95ST2|Q95ST2-2,Protein wntless,FBgn0036141,wls,1,1,0,0,0
0.3855,0.291,0.3455,0.334,-0.001,0.342,-0.012,0.0945,0.197,0.046,0.254,0.18,Q9XYZ5,14,Q9XYZ5,DNA damage-binding protein 1,FBgn0260962,pic,0,0,1,1,0
0.3235,-0.198,0.3435,-0.079,0.29,0.142,0.163,-0.0955,0.001,0.17,0.254,-0.186,Q8IGK2,2,Q8IGK2|Q9VH65,RE73786p,FBgn0037755,CG12945,0,1,0,0,0
0.2245,0.225,0.1695,0.119,-0.021,0.239,-0.018,-0.0155,0.189,0.03,0.254,0.007,P55824,15,P55824|P55824-3|D5A7R4,Probable ubiquitin carboxyl-terminal hydrolase FAF,FBgn0005632,faf,0,0,1,0,0
-0.6935,-0.03,-0.6675,-0.094,-0.62,-0.213,-0.564,-0.5285,0.305,-0.464,0.254,-0.342,Q9V430,2,Q9V430,IP22191p,FBgn0028370,kek3,1,1,0,0,0
0.6245,0.418,0.4145,0.389,0.269,0.4,0.099,0.2435,0.12,0.207,0.253,0.22,P23128,16,P23128|P23128-2,Putative ATP-dependent RNA helicase me31b,FBgn0004419,me31B,0,0,1,0,0
0.1345,0.336,0.3245,0.001,-0.04,0.353,0.107,-0.0715,0.222,0.056,0.253,0.13,Q9VYK6,16,Q9VYK6|Q9VYK5|Q9VYK4|Q86NY8|Q8SX12|Q8SX79,"Tomosyn, isoform C",FBgn0030412,Tomosyn,1,1,1,0,0
0.6225,0.483,0.6575,0.529,0.17,0.387,0.149,0.0515,0.204,0.209,0.252,0.09,B3STG7,23,B3STG7|B3STH6|P24785|B3STG6|B3STG5|B3STG2|B3STG4|B3STH3|A8IL83|A8IL99|A8IL95|A8IL87|A8ILB3|B3STH2|B3STG3|B3STH0|B3STG9|A8ILA2|A8ILA7|A8ILB0|P24785-2|A1Z6I8|P24785-3|I1V4Y3,Maleless,FBgn0002774,mle,0,0,0,0,0
0.2635,0.344,0.3985,0.309,0.219,0.365,0.168,0.0075,-0.028,0.405,0.252,0.123,Q9NII1,5,Q9NII1|Q9NII1-4|Q9NII1-7|Q9NII1-5|Q9NII1-2|Q9NII1-3|Q9NII1-6|C6SUW1|C6K8G4|C6K8G3|Q2PE36|E0R981,Double-stranded RNA-specific editase Adar,FBgn0026086,Adar,0,1,0,0,0
0.2495,0.097,0.4815,-0.079,0.194,0.417,0.331,-0.0725,0.041,0.172,0.252,0.031,A1YK81,2,A1YK81|A1YK83|A1YK78|A1YK77|A1YK86|A1YK80|A1YK85|Q9VCW3|A1YK79|A1YK82|Q961A9,Nup133,FBgn0039004,Nup133,0,0,0,1,0
0.1305,0.409,0.4925,0.189,-0.057,0.319,0.178,-0.2165,0.331,0.098,0.252,0.058,Q9V3R8,2,Q9V3R8,UbiA prenyltransferase domain-containing protein 1 homolog,FBgn0028375,heix,0,1,0,0,1
-0.0715,0.156,0.0495,0.08,-0.179,0.157,0.022,-0.1425,0.132,-0.153,0.252,-0.247,Q9VAR0,3,Q9VAR0,CG1951,FBgn0039623,CG1951,0,0,0,0,0
0.1795,0.104,0.1005,0.105,0.004,0.277,0.011,-0.0235,0.184,0.203,0.251,0.07,Q7M3J7,22,Q7M3J7|Q7KV90|Q7KV88|Q9W002|Q6NP15|Q7KV89,Probable protein kinase,FBgn0010909,msn,0,0,0,0,0
-0.3595,-0.581,-0.3205,-0.658,-0.313,0.154,-0.243,-0.1695,0.352,0.264,0.249,0.436,Q9VJA9,2,Q9VJA9|F0JAM7,GH07373p,FBgn0243486,rdo,0,1,0,0,0
0.3735,0.346,0.4205,0.256,0.066,0.386,0.224,-0.0015,0.146,0.234,0.248,0.155,A1ZAJ2-2,50,A1ZAJ2-2|A1ZAJ2-3|A1ZAJ2|O18390|Q7KQ58|Q7JMZ1|Q9VIP4|O16866|Q960F4|Q9V4A1,Isoform D of Kinesin-like protein unc-104,FBgn0267002,unc-104,0,0,1,0,0
0.3035,0.349,0.2705,0.26,0.316,0.357,0.247,0.1015,0.173,0.153,0.248,0.066,A1ZAI5,10,A1ZAI5,Putative fatty acyl-CoA reductase CG5065,FBgn0034145,CG5065,0,1,0,0,0
0.2005,-0.062,0.3945,-0.294,-0.691,0.476,-0.421,-0.0015,0.48,-0.791,0.248,-0.388,B7YZT0,2,B7YZT0|A1Z7F5|A1Z7F4|Q70GQ8,"Mangetout, isoform D",FBgn0050361,mtt,1,1,0,0,0
0.0695,-0.163,-0.2815,0.134,0.066,-0.032,-0.217,0.2415,0.111,0.079,0.247,0.086,Q7K172,5,Q7K172|Q7JV41,LD04933p,FBgn0034176,ste24a,0,1,0,0,0
1.0955,-0.326,0.5095,-0.159,0.372,0.081,-0.245,0.3545,0.238,-0.161,0.246,-0.1,Q9VES1,2,Q9VES1,ARL-6-interacting protein 1 homolog,FBgn0038453,Arl6IP1,0,1,0,0,0
0.9785,-0.166,0.7775,-0.057,0.071,0.24,-0.099,0.1235,0.175,0.213,0.246,0.166,A1ZAB1,4,A1ZAB1|C4IXX4|C4IXX5,Lambik,FBgn0034083,lbk,0,1,0,0,0
0.2985,0.364,0.2865,0.285,0.234,0.311,0.228,0.0615,-0.046,0.288,0.246,0.207,Q9VUC6,13,Q9VUC6|Q9VUC6-3|Q9VUC6-2|E8NH76|I0B8L8,Formin-like protein CG32138,FBgn0267795,Frl,0,0,0,0,0
0.6275,0.484,0.5855,0.568,0.339,0.443,0.244,0.2475,0.186,0.345,0.243,0.264,Q9VU68,32,Q9VU68|Q9VU68-2,Actin-interacting protein 1,FBgn0260049,flr,0,0,1,0,0
0.4255,0.331,0.4545,0.265,-0.032,0.532,0.028,0.1045,0.419,0.549,0.243,0.742,Q8IN94,2,Q8IN94|Q7KSE8|B6IDZ6,Trithorax group protein osa,FBgn0261885,osa,0,0,0,1,0
0.5795,0.338,0.4745,0.405,0.03,0.44,-0.044,0.2685,0.439,0.087,0.242,0.354,Q29R20,2,Q29R20,CG34420,FBgn0266100,CG44837,0,1,0,0,0
0.2585,0.56,0.4985,0.413,-0.107,0.352,0.067,-0.0685,0.226,0.065,0.242,-0.028,Q9VEC8,4,Q9VEC8,"CG7215, isoform A",FBgn0038571,CG7215,0,0,0,0,0
0.1125,0.104,0.1445,0.158,-0.072,0.297,0.057,0.0255,0.263,0.022,0.241,-0.026,Q24574,10,Q24574,Ubiquitin carboxyl-terminal hydrolase 64E,FBgn0016756,Usp47,0,0,1,1,0
0.0725,0.017,0.1655,0.017,-0.059,0.223,-0.039,0.0355,0.204,0.118,0.241,0.315,Q9VSF0,3,Q9VSF0,"Autophagy-specific gene 18, isoform A",FBgn0035850,Atg18a,0,0,0,0,0
-0.1605,0.033,-0.1615,-0.004,0.109,0.067,0.139,-0.2085,-0.117,0.225,0.241,-0.063,B3DNI4,2,B3DNI4|Q9VVM7|B3DN15,IP21291p (Fragment),FBgn0036771,CG14353,0,0,0,0,0
0.5975,0.355,0.6705,0.18,0.153,0.231,0.35,-0.1405,-0.08,0.481,0.24,0.291,P32870,3,P32870,Ca(2+)/calmodulin-responsive adenylate cyclase,FBgn0003301,rut,1,1,0,0,0
0.2805,0.74,0.1155,0.856,0.17,0.327,0.073,0.0065,0.232,1.488,0.24,1.211,Q7KN63,3,Q7KN63|Q9XZ53,GM01838p (Fragment),FBgn0011336,Stt3B,0,1,0,0,0
0.0035,0.236,0.1115,0.338,0.074,0.265,0.031,-0.0685,-0.032,0.443,0.24,0.312,Q9VIQ8,4,Q9VIQ8,"CG10664, isoform A",FBgn0032833,COX4,0,1,0,0,1
-0.2715,-0.313,-0.1605,-0.304,-0.178,-0.185,0.053,-0.5405,-0.156,0.326,0.239,0.028,Q8T017,2,Q8T017|O96842,CG5036,FBgn0028743,Dhit,1,1,1,0,0
0.2545,-0.037,0.1055,0.219,0.104,-0.001,0.329,-0.1045,-0.207,0.03,0.237,-0.165,Q9W0L7,3,Q9W0L7,CG32479,FBgn0052479,Usp10,0,0,0,0,0
0.2515,0.271,0.3255,0.179,-0.073,0.407,0.088,0.2095,0.285,0.193,0.237,0.194,Q9VW13,12,Q9VW13|Q8SWU2,CG9330,FBgn0036888,CG9330,0,0,0,0,0
-0.4135,-0.043,-0.2415,-0.252,-0.312,0.115,-0.11,-0.3295,0.18,0.003,0.237,0.015,Q9VZW0,2,Q9VZW0,LD11247p,FBgn0052484,Sk2,0,1,1,0,0
1.0915,0.552,0.6925,0.876,0.44,0.342,0.199,0.3815,0.015,0.348,0.236,0.14,Q9VGF7,3,Q9VGF7,CG18347,FBgn0260743,GC1,0,1,0,0,1
0.2815,0.157,0.1415,0.242,0.296,0.285,0.035,0.2005,0.095,0.281,0.236,0.201,Q9VKM3,4,Q9VKM3,"Lethal (2) 06225, isoform A",FBgn0010612,ATPsynG,0,0,0,0,1
0.1875,0.374,0.2755,0.152,-0.119,0.261,0.022,-0.0865,0.138,-0.147,0.236,0.008,Q9V3N4,3,Q9V3N4|Q9U999,Huntingtin,FBgn0027655,htt,0,0,1,0,0
0.0595,0.124,0.4075,-0.131,-0.297,0.55,-0.092,-0.1945,0.43,-0.431,0.236,-0.299,Q9VL07,3,Q9VL07|Q76NQ3,LD02225p,FBgn0260749,Utx,0,0,0,1,0
0.0095,0.204,0.1035,0.174,0.016,0.196,0.106,0.0445,0.116,0.115,0.236,0.059,Q9VZI3,8,Q9VZI3|Q9VVD2,Unc-112-related protein,FBgn0035498,Fit1,0,0,1,0,0
-0.0045,0.243,0.3345,0.377,0.157,0.34,0.133,0.1165,0.298,0.638,0.236,0.472,Q9VX91,5,Q9VX91,E3 ubiquitin-protein ligase UBR1,FBgn0030809,Ubr1,0,0,1,0,0
0.6605,0.314,0.4885,0.483,0.28,0.476,0.261,0.4805,-0.092,-0.065,0.235,-0.013,O46082,4,O46082|Q9W547,EG:63B12.2 protein,FBgn0023519,mRpL16,0,0,0,0,1
0.4365,0.256,0.5055,0.295,0.153,0.325,0.097,0.0935,0.246,0.135,0.235,0.099,Q9XZ10,22,Q9XZ10|Q8IML5|Q6NLA3|Q8IML4|Q8IML3|Q8IML2|Q86P41|Q86M57,"Vha100-1, isoform C",FBgn0028671,Vha100-1,1,1,0,0,0
0.4075,0.158,0.3905,0.16,0.1,0.371,0.111,0.1015,0.215,0.002,0.235,-0.038,Q8MT29,11,Q8MT29|Q9VKC8,RE66761p,FBgn0032397,Tom70,0,1,0,0,1
0.2125,0.281,0.4165,0.158,0.042,0.318,0.165,0.0505,0.133,0.169,0.235,0.04,Q960Z0,16,Q960Z0,Kinesin-like protein Klp10A,FBgn0030268,Klp10A,0,0,1,0,0
0.1405,0.206,0.3455,0.061,0.081,0.407,0.216,0.0015,0.198,0.284,0.234,0.109,Q9VNC9,10,Q9VNC9|Q7KTS3,"CG2519, isoform A",FBgn0037336,CG2519,0,1,0,0,0
0.6505,0.271,0.7515,0.427,-0.104,0.255,-0.034,0.0965,0.501,0.393,0.233,0.405,O97394-2,11,O97394-2|O97394|C8VV85|Q7KN65,Isoform C of Protein sidekick,FBgn0021764,sdk,1,1,0,0,0
0.1695,0.166,0.1285,0.277,0.104,0.381,0.097,0.1455,0.196,0.122,0.233,-0.074,Q9VZE7,6,Q9VZE7,CTL-like protein 1,FBgn0035523,Ctl1,0,1,0,0,0
0.1355,0.163,0.1815,0.116,-0.184,0.341,0.226,-0.1835,0.034,0.426,0.233,0.233,E2QCY4,9,E2QCY4|Q9VT28|Q9VT28-2|C7LAH1|C3KGK4,"Furry, isoform C",FBgn0016081,fry,0,0,0,0,0
0.1225,0.177,0.2825,0.152,0.123,0.318,0.239,0.0225,0.068,0.309,0.232,0.039,Q7PLL6,21,Q7PLL6|Q6JE78|Q6JE81|Q5BIL6|Q6JE80|D2A6J9,"CG17514, isoform A",FBgn0039959,CG17514,0,0,0,0,0
-0.1985,0.092,-0.0615,-0.094,-0.232,0.177,0.012,-0.2235,0.059,-0.352,0.232,-0.234,Q7KT91,4,Q7KT91|D3PFD8,Non-lysosomal glucosylceramidase,FBgn0028916,CG33090,1,1,0,0,0
0.1785,0.12,0.3295,0.057,-0.371,0.278,-0.316,0.1625,0.548,-0.132,0.231,0.157,Q9V416,3,Q9V416|Q7KT76|Q8MQM3,Anoctamin,FBgn0028879,CG15270,1,1,0,0,0
0.6205,0.335,0.3735,0.653,0.435,0.343,0.252,0.4645,0.187,0.113,0.23,0.098,Q9VBU9,6,Q9VBU9,40S ribosomal protein S27,FBgn0039300,RpS27,0,1,0,0,0
0.5365,0.365,0.4625,0.411,0.202,0.281,0.038,0.1385,0.228,0.185,0.23,0.128,Q9VS57,8,Q9VS57,RE14391p,FBgn0035771,Sec63,0,1,0,0,0
0.3185,0.299,0.2695,0.366,0.135,0.239,0.158,0.1465,0.148,0.044,0.23,0.028,Q6NND8,19,Q6NND8|Q7JMZ7|Q0E914|D5AEJ9|Q8IHH3|A1ZBN3|D4G7B7|Q86P89,RE74969p,FBgn0003435,sm,0,0,0,0,0
0.2165,0.296,-0.2505,0.725,0.468,0.147,0.17,0.3025,0.218,0.408,0.23,0.272,Q59DZ7,3,Q59DZ7|G2J650|E1JHA2,"Discoidin domain receptor, isoform A",FBgn0053531,Ddr,0,1,0,0,0
0.7675,0.428,0.5135,0.526,0.331,0.367,0.203,0.1835,0.18,0.21,0.229,0.011,O77285,26,O77285|Q9W0B8,Coatomer alpha subunit,FBgn0025725,alphaCOP,0,1,1,0,0
0.7575,0.602,0.6725,0.584,0.177,1.045,0.39,0.3955,0.251,0.306,0.229,0.242,Q59E14,6,Q59E14|Q058Z9|D0Z750,CG33543,FBgn0053543,CG33543,0,0,0,0,0
0.3115,0.364,0.3765,0.322,0.172,0.382,0.198,0.0945,0.107,0.168,0.229,0.109,Q9V8R9,73,Q9V8R9|Q9V8R9-4|Q9V8R9-2|Q9V8R9-6|Q9V8R9-3|Q9V8R9-5,Protein 4.1 homolog,FBgn0010434,cora,1,1,0,0,0
0.2165,0.234,0.1995,0.181,-0.08,0.279,-0.02,-0.0275,0.24,-0.025,0.229,0.062,Q9GYU8,15,Q9GYU8,Nuclear pore complex protein Nup88,FBgn0026207,mbo,0,1,0,1,0
-0.1495,-0.084,-0.1675,-0.031,-0.15,-0.047,-0.129,-0.0955,0.223,0.056,0.229,0.175,Q9W2S1,4,Q9W2S1|C9QP43|Q7KVQ7,FI17817p1,FBgn0052675,Tango5,0,1,0,0,0
1.0135,0.465,0.8355,0.606,0.796,0.477,0.608,0.3785,-0.12,0.501,0.228,-0.014,E8NH43,2,E8NH43|Q7PLT4,MIP28909p (Fragment),FBgn0263977,Tim17b,0,1,0,0,1
0.1655,-0.324,0.0975,-0.295,-0.294,0.011,-0.33,-0.1855,0.296,-0.652,0.228,-0.514,Q9VCR3,2,Q9VCR3,"CG13830, isoform C",FBgn0039054,Cow,0,0,0,0,0
0.6125,0.36,0.4855,0.319,0.073,0.344,0.055,-0.0765,0.235,0.308,0.226,0.206,O76928,2,O76928,Carmine,FBgn0000330,cm,0,1,0,0,0
